[Tue Jun 21 10:05:58.709430 2016] [autoindex:error] [pid 33316] [client 10.10.11.137:52592] AH01276: Cannot serve directory /home/985219/public_html/lab1/: No matching DirectoryIndex (index.html,index.cgi,index.pl,index.php,index.xhtml,index.htm) found, and server-generated directory index forbidden by Options directive
[Thu Jun 23 14:12:17.355900 2016] [:error] [pid 28201] [client 10.10.14.113:58866] script '/home/985219/public_html/hw4/signup.php' not found or unable to stat, referer: http://mumstudents.org/~985219/hw4/index.php
[Thu Jun 23 14:13:25.908312 2016] [:error] [pid 26576] [client 10.10.14.113:58890] script '/home/985219/public_html/hw4/signup.php' not found or unable to stat, referer: http://mumstudents.org/~985219/hw4/index.php
[Thu Jun 23 15:22:43.393957 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: name in /home/985219/public_html/hw4/signup-submit.php on line 4, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:22:43.394125 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: gender in /home/985219/public_html/hw4/signup-submit.php on line 5, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:22:43.394191 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: age in /home/985219/public_html/hw4/signup-submit.php on line 6, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:22:43.394249 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: personalityType in /home/985219/public_html/hw4/signup-submit.php on line 7, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:22:43.394306 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: favorateOS in /home/985219/public_html/hw4/signup-submit.php on line 8, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:22:43.394362 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: ageFrom in /home/985219/public_html/hw4/signup-submit.php on line 9, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:22:43.394418 2016] [:error] [pid 33242] [client 10.10.14.113:59819] PHP Notice:  Undefined index: ageTo in /home/985219/public_html/hw4/signup-submit.php on line 10, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:47:46.082801 2016] [:error] [pid 37491] [client 10.10.14.113:60185] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:47:51.942698 2016] [:error] [pid 37267] [client 10.10.14.113:60186] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:47:52.833694 2016] [:error] [pid 37267] [client 10.10.14.113:60186] PHP Warning:  fopen(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 14, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:50:24.607674 2016] [:error] [pid 37488] [client 10.10.14.113:60259] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 18, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:50:29.723941 2016] [:error] [pid 37264] [client 10.10.14.113:60262] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 18, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:50:30.975183 2016] [:error] [pid 37270] [client 10.10.14.113:60267] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 18, referer: http://mumstudents.org/~985219/hw4/signup.php
[Thu Jun 23 15:51:25.831037 2016] [:error] [pid 37704] [client 10.10.14.113:60270] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 18
[Thu Jun 23 15:53:12.308969 2016] [:error] [pid 37704] [client 10.10.14.113:60295] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:12.508735 2016] [:error] [pid 37210] [client 10.10.14.113:60297] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:13.552132 2016] [:error] [pid 37210] [client 10.10.14.113:60297] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:14.692339 2016] [:error] [pid 37270] [client 10.10.14.113:60296] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:16.419603 2016] [:error] [pid 37264] [client 10.10.14.113:60298] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:17.030447 2016] [:error] [pid 37210] [client 10.10.14.113:60297] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:17.493860 2016] [:error] [pid 37210] [client 10.10.14.113:60297] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:17.906481 2016] [:error] [pid 37270] [client 10.10.14.113:60296] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:53:18.370707 2016] [:error] [pid 37210] [client 10.10.14.113:60297] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:54:15.152904 2016] [:error] [pid 37378] [client 10.10.14.113:60321] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:54:59.790179 2016] [:error] [pid 37378] [client 10.10.14.113:60329] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:00.497071 2016] [:error] [pid 37264] [client 10.10.14.113:60333] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:00.787485 2016] [:error] [pid 37270] [client 10.10.14.113:60334] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:01.009567 2016] [:error] [pid 37270] [client 10.10.14.113:60334] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:01.219506 2016] [:error] [pid 37264] [client 10.10.14.113:60333] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:01.438138 2016] [:error] [pid 37264] [client 10.10.14.113:60333] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:01.635219 2016] [:error] [pid 37378] [client 10.10.14.113:60329] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:01.757090 2016] [:error] [pid 37270] [client 10.10.14.113:60334] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:01.978664 2016] [:error] [pid 37264] [client 10.10.14.113:60333] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:02.093540 2016] [:error] [pid 37264] [client 10.10.14.113:60333] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:55:02.337160 2016] [:error] [pid 37264] [client 10.10.14.113:60333] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:56:59.493188 2016] [:error] [pid 37491] [client 10.10.14.113:60364] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:57:00.739327 2016] [:error] [pid 37491] [client 10.10.14.113:60364] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:57:01.578084 2016] [:error] [pid 37270] [client 10.10.14.113:60367] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:57:02.077500 2016] [:error] [pid 37491] [client 10.10.14.113:60364] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:57:02.656757 2016] [:error] [pid 37378] [client 10.10.14.113:60366] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:57:33.810668 2016] [:error] [pid 37704] [client 10.10.14.113:60372] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
[Thu Jun 23 15:57:34.923055 2016] [:error] [pid 37491] [client 10.10.14.113:60375] PHP Warning:  file_put_contents(singles.txt): failed to open stream: Permission denied in /home/985219/public_html/hw4/signup-submit.php on line 19
